"","LUV","JBLU","ALK","ALGT","GOL","GLUX","CPA","HA","SKYW","AAPL","KODK","WATT","KOSS","MSN","VUZI","UEIC","FN","PHG","ABBV","LLY","NVS","AZN","ADTN","HIVE","AUDC","ALLT","AVNW","ATEN","DAL","AAL","SAVE","CEA","ZNH","VLRS","UAL","volume.data.a6.df$ARCO"
"95",1936000,3998700,513100,100300,1014000,0,289600,546200,177400,87388800,64300,638900,1100,12700,126500,63400,272000,588300,12165900,2273200,804900,2533500,177500,55320,122800,100100,15000,128800,4110600,7152300,454400,7300,14300,230300,1822600,1577500
"96",1817900,3388500,414600,476900,627300,0,458700,410400,204600,102734400,255700,362500,9500,6500,129900,64000,252600,366300,5798800,3250600,852000,2009400,174400,50880,178900,171600,18000,659000,3763900,4393200,637400,2700,9100,173500,1051800,369700
"97",1901400,2124600,459200,109800,835600,0,1216000,329900,153000,89182800,40300,323700,2800,1300,94600,67200,218100,304400,5425600,2627100,764500,1498700,185500,59640,924600,130900,106200,215300,4350100,4552000,1012100,3900,9600,192100,1552700,245500
"98",1647700,2098300,468800,132400,702500,0,355500,411100,221000,100206400,66300,337200,400,1400,170900,65000,258700,364600,8036700,4857400,1155700,2267000,216000,43440,743600,60300,21200,180000,3788400,5368800,607000,3200,6300,246600,1808700,272600
"99",2205200,2553500,432400,124900,513600,0,396800,431600,113100,86703200,46100,429000,1100,40700,173800,96300,360600,447100,5772300,3361600,1019600,1860500,217400,32220,438400,22900,15200,243900,4704900,5965500,796300,3300,8900,163800,1606400,154700
"100",2103400,4038400,561300,65400,455400,0,228600,637300,158400,76167200,122600,326600,2100,5000,193400,65400,295600,311600,7504800,3781600,2829200,2105200,221400,90840,319200,56800,20800,286200,7383600,9936100,824300,5500,14900,247600,3133900,229900
"101",3125800,3406600,789000,91700,328700,0,259500,532100,206200,106234400,52300,446300,5200,17900,110500,65000,334200,622300,10933000,3638200,1310200,2265900,234100,187640,215300,21800,24600,195600,5021300,6071800,508800,2900,7400,223600,1630900,434600
"102",2126000,3817800,688400,120800,1078000,327,267300,467900,168800,121395200,112800,560200,500,103000,142700,59500,215100,414500,9614100,2909500,1478200,2394800,150800,54640,194300,23100,71800,204600,9648200,4827100,625500,5800,6400,206700,1440400,123200
"103",1530200,3433500,613100,112500,402300,0,193000,350600,159300,65325200,112600,398100,7600,11500,219200,34800,240300,486400,7784700,3120100,907000,2008700,375100,114540,348900,41900,31600,158500,6822400,5171200,1162400,7200,27500,367600,1941700,308100
"104",2076400,4022500,493200,132000,371600,0,148800,539200,270900,84020400,62000,601700,61500,8400,112800,107200,197600,334200,9522100,2939300,3090500,2647000,331100,118780,198700,120300,16200,182100,4888100,5932800,903400,4300,10400,280600,2042400,383900
